round,event,action,alive,winprob,equip,swings
1,1,Round started,5v5,46.7/53.3,PARIVISION=$4.1K (PISTOL);TYL=$4.35K (PISTOL),
1,2,Jee killed xiELO,4v5,22.7/77.3,,Jee +24.03%;xiELO -24.03%
1,3,FL1T killed Moseyuh,4v4,37.4/62.6,,FL1T +14.73%;Moseyuh -14.73%
1,4,Mercury killed FL1T,3v4,18.7/81.3,,Mercury +11.46%;FL1T -18.75%;Moseyuh +7.29%
1,5,Mercury planted the bomb,3v4,11.9/88.1,,Mercury +1.82%;xiELO -3.83%;FL1T -2.99%;Moseyuh +1.16%;Jee +3.83%
1,6,Jee killed zweih,2v4,1.9/98.1,,Jee +9.94%;zweih -9.94%
1,7,Zero killed slaxejezzz,1v4,0.1/99.9,,Zero +1.78%;slaxejezzz -1.78%
1,8,Mercury killed Jame,0v4,0.0/100.0,,Mercury +0.15%;Jame -0.15%
2,1,Round started,5v5,4.6/95.4,PARIVISION=$1.8K (ECO);TYL=$19.75K (FULL),
2,2,Mercury killed slaxejezzz,4v5,2.0/98.0,,Mercury +2.62%;slaxejezzz -2.62%
2,3,JamYoung killed FL1T,3v5,0.6/99.4,,JamYoung +1.38%;FL1T -1.41%;Moseyuh +0.03%
2,4,Jee killed xiELO,2v5,0.1/99.9,,Jee +0.52%;xiELO -0.52%
2,5,Mercury killed zweih,1v5,0.0/100.0,,Mercury +0.07%;zweih -0.07%
2,6,JamYoung planted the bomb,1v5,0.0/100.0,,JamYoung -0.01%;zweih +0.00%;slaxejezzz +0.02%;xiELO +0.00%;FL1T +0.01%;Moseyuh -0.00%;Jee -0.00%;Mercury -0.02%
2,7,Bomb detonated,1v5,0.0/100.0,,Jame -0.05%;Moseyuh +0.00%;Zero +0.00%;JamYoung +0.01%;Jee +0.01%;Mercury +0.02%
3,1,Round started,5v5,50.0/50.0,PARIVISION=$22.6K (FULL);TYL=$20.05K (FULL),
3,2,zweih killed Zero,5v4,67.0/33.0,,zweih +16.97%;Zero -16.97%
3,3,Jee killed zweih,4v4,46.9/53.1,,Jee +12.31%;zweih -20.14%;Zero +7.83%
3,4,Jame killed JamYoung,4v3,64.9/35.1,,Jame +17.99%;JamYoung -17.99%
3,5,Jee planted the bomb,4v3,35.7/64.3,,Jee +17.84%;zweih -29.20%;Zero +11.35%
3,6,slaxejezzz killed Mercury,4v2,71.4/28.6,,slaxejezzz +35.72%;Mercury -35.72%
3,7,Jee killed xiELO,3v2,61.5/38.5,,Jee +6.71%;xiELO -9.87%;Mercury +3.16%
3,8,FL1T killed slaxejezzz,2v2,34.7/65.3,,FL1T -23.47%;slaxejezzz -16.25%;Moseyuh +9.97%;JamYoung +0.23%;Mercury +3.63%
3,9,Moseyuh killed FL1T,1v2,8.8/91.2,,Moseyuh +25.13%;FL1T -25.96%;JamYoung +0.83%
3,10,Bomb detonated,1v2,0.0/100.0,,Jame -8.79%;Moseyuh +4.41%;Zero +0.66%;JamYoung +0.09%;Jee +3.06%;Mercury +0.57%
4,1,Round started,5v5,23.7/76.3,PARIVISION=$13.3K (HALF);TYL=$25.5K (FULL),
4,2,Mercury planted the bomb,5v5,3.3/96.7,,Mercury +4.08%;Jame -4.08%;zweih -4.08%;slaxejezzz -4.08%;xiELO -4.08%;FL1T -4.08%;Moseyuh +4.08%;Zero +4.08%;JamYoung +4.08%;Jee +4.08%
4,3,Bomb detonated,5v5,0.0/100.0,,
5,1,Round started,5v5,50.0/50.0,PARIVISION=$27.1K (FULL);TYL=$24.4K (FULL),
5,2,Jame killed Mercury,5v4,67.0/33.0,,Jame +16.97%;Mercury -16.97%
5,3,FL1T killed Moseyuh,5v3,84.4/15.6,,FL1T +17.39%;Moseyuh -17.39%
5,4,Zero killed zweih,4v3,71.0/29.0,,Zero +13.37%;zweih -13.37%
5,5,slaxejezzz killed Zero,4v2,87.9/12.1,,slaxejezzz +8.73%;zweih +8.19%;Zero -16.92%
5,6,Jame killed Jee,4v1,98.9/1.1,,Jame +10.98%;Jee -10.98%
5,7,JamYoung killed slaxejezzz,3v1,97.5/2.5,,JamYoung +1.45%;slaxejezzz -1.45%
5,8,xiELO killed JamYoung,3v0,100.0/0.0,,xiELO +1.88%;zweih +0.10%;slaxejezzz +0.46%;FL1T +0.08%;JamYoung -2.52%
6,1,Round started,5v5,50.0/50.0,PARIVISION=$30.95K (FULL);TYL=$24.25K (FULL),
6,2,slaxejezzz killed Moseyuh,5v4,67.0/33.0,,slaxejezzz +14.70%;xiELO +2.27%;Moseyuh -16.97%
6,3,slaxejezzz killed Zero,5v3,84.4/15.6,,slaxejezzz +17.39%;Zero -17.39%
6,4,JamYoung killed xiELO,4v3,71.0/29.0,,JamYoung +13.12%;xiELO -13.37%;Mercury +0.26%
6,5,slaxejezzz killed JamYoung,4v2,87.9/12.1,,slaxejezzz +4.70%;xiELO +12.22%;JamYoung -16.92%
6,6,Mercury killed slaxejezzz,3v2,77.1/22.9,,Mercury +5.51%;slaxejezzz -10.88%;Moseyuh +4.23%;JamYoung +1.14%
6,7,Mercury planted the bomb,3v2,61.5/38.5,,Mercury +3.70%;slaxejezzz -6.98%;xiELO -8.57%;Moseyuh +2.71%;JamYoung +9.14%
